时间(s),关节角度(°),电机电流(A),振动值(mm/s),温度(℃),健康状态
1,79.9196,18.8325,1.9604,32.0708,轻微抖动
2,-15.8148,15.9183,0.1,22.5195,严重抖动
3,-118.6113,2.236,1.9679,56.1628,轻微抖动
4,66.3239,9.3629,9.3739,89.0154,严重抖动
5,-113.4524,19.4221,2.7037,63.4371,轻微抖动
6,-148.1427,4.7237,7.8175,87.0876,严重抖动
7,-51.5688,6.3378,0.252,41.6934,平稳
8,97.6573,2.4068,9.9866,75.3888,严重抖动
9,3.0854,18.2438,0.3691,27.1039,平稳
10,109.3219,4.5448,0.9624,42.0199,平稳
11,-26.2412,16.5423,7.9532,82.2349,严重抖动
12,166.481,5.7839,3.1111,58.4213,轻微抖动
13,-3.797,19.7274,0.5712,39.9576,平稳
14,-47.5981,13.0138,2.3413,68.2092,轻微抖动
15,19.8723,11.0634,9.4172,79.5675,严重抖动
16,81.344,18.0451,8.6944,84.8154,严重抖动
17,143.4795,12.5222,8.7462,74.9397,严重抖动
18,54.7061,5.2611,0.226,25.2777,平稳
19,-47.6223,6.0388,6.6958,82.2908,严重抖动
20,-109.7125,14.7266,6.8952,75.7774,严重抖动
21,-25.8537,19.3664,9.3658,87.846,平稳
22,-65.9081,4.2204,9.4705,77.4384,严重抖动
23,41.4026,19.811,5.7383,88.1752,严重抖动
24,-74.3069,16.3779,9.0026,73.4345,严重抖动
25,107.3863,13.3493,8.1249,82.0029,严重抖动
26,-146.1665,11.9873,6.9864,76.8439,严重抖动
27,-161.3946,11.0957,5.3801,71.9932,严重抖动
28,-82.5004,9.3405,6.8833,88.5893,严重抖动
29,-123.6827,5.7546,0.7224,24.2665,平稳
30,85.6429,11.5327,5.2852,71.3985,严重抖动
31,-3.0183,9.996,1.2016,26.0282,平稳
32,45.3096,10.5596,3.9572,63.3056,轻微抖动
33,158.4829,11.934,1.6726,25.0312,平稳
34,-41.0031,19.2626,4.3695,62.102,轻微抖动
35,124.1551,1.4422,0.6894,27.3659,平稳
36,-116.1218,15.2617,6.4891,82.3675,严重抖动
37,-57.3107,18.6844,7.7301,87.5045,严重抖动
38,142.3884,8.3948,7.7947,72.8495,严重抖动
39,-74.4441,7.2446,1.3862,43.9498,平稳
40,-2.0087,2.0936,6.8828,73.6087,严重抖动
41,-149.7215,14.3184,1.3817,32.0462,平稳
42,21.0255,9.0602,8.003,85.9872,严重抖动
43,166.3821,8.1225,1.5305,29.3831,平稳
44,8.3152,12.9586,5.3438,88.348,严重抖动
45,66.5032,4.0897,3.2156,61.3996,轻微抖动
46,131.783,1.8592,8.8541,80.3248,严重抖动
47,169.1692,17.0003,0.4201,44.7064,平稳
48,160.1157,17.1433,8.1488,90.0,严重抖动
49,42.5262,7.8051,2.275,52.3413,轻微抖动
50,21.9377,17.6564,5.4869,74.1636,严重抖动
51,145.4971,7.6169,0.1,46.7076,平稳
52,161.8274,3.7944,5.5142,72.7856,严重抖动
53,48.0243,5.5628,2.6554,52.7442,轻微抖动
54,-55.5598,18.039,0.9244,27.6118,平稳
55,-55.7703,7.6048,4.7029,66.0155,平稳
56,13.1726,18.5568,1.6904,45.2472,平稳
57,89.8618,1.579,5.4396,69.2594,严重抖动
58,-56.5463,10.0054,5.6983,77.5372,严重抖动
59,20.7872,12.1442,4.1302,64.4816,轻微抖动
60,-178.092,19.5263,0.646,22.6388,平稳
