时间(s),关节角度(°),电机电流(A),振动值(mm/s),温度(℃),健康状态,状态编码
1,79.9196,18.8325,-0.9271347624208537,-1.5853636098137542,轻微抖动,2
2,-15.8148,15.9183,-1.5554865575183108,-2.0837506967444845,严重抖动,0
3,-118.6113,2.236,-0.9246016305872528,-0.3282424118265524,轻微抖动,2
4,66.3239,9.3629,1.57678161736575,1.3860071261526254,严重抖动,0
5,-113.4524,19.4221,-0.6760845101654571,0.05133075480628456,轻微抖动,2
6,-148.1427,4.7237,1.051106099256912,1.2854144711019972,严重抖动,0
7,-51.5688,6.3378,-1.504148419024001,-1.083256086994908,平稳,1
8,97.6573,2.4068,1.7837216006253775,0.6749707773027002,严重抖动,0
9,3.0854,18.2438,-1.4645977873287142,-1.8445365833436658,平稳,1
10,109.3219,4.5448,-1.2642101717453333,-1.066219308348767,平稳,1
11,-26.2412,16.5423,1.0969388978995291,1.0322004565962488,严重抖动,0
12,166.481,5.7839,-0.5384847889642617,-0.2103938220185621,轻微抖动,2
13,-3.797,19.7274,-1.396338328185951,-1.1738301769611283,平稳,1
14,-47.5981,13.0138,-0.7984854403650478,0.30033905917764103,轻微抖动,2
15,19.8723,11.0634,1.591406231818405,0.8930154539600599,严重抖动,0
16,81.344,18.0451,1.3472798732415174,1.1668510149312137,严重抖动,0
17,143.4795,12.5222,1.3647753704389203,0.6515367274099534,严重抖动,0
18,54.7061,5.2611,-1.5129299427138172,-1.9398277477037948,平稳,1
19,-47.6223,6.0388,0.6722509022235765,1.0351173200765533,严重抖动,0
20,-109.7125,14.7266,0.739598433906243,0.6952479355933286,严重抖动,0
21,-25.8537,19.3664,1.5740458349854611,1.324987803185407,平稳,1
22,-65.9081,4.2204,1.609408355382528,0.7819189595787489,严重抖动,0
23,41.4026,19.811,0.3488544048005409,1.342165467903047,严重抖动,0
24,-74.3069,16.3779,1.4513747040569527,0.5729953515503179,严重抖动,0
25,107.3863,13.3493,1.15493072934343,1.0200946904525898,严重抖动,0
26,-146.1665,11.9873,0.7704013170028287,0.7508979338356231,严重抖动,0
27,-161.3946,11.0957,0.22787202842776672,0.49778827938283693,严重抖动,0
28,-82.5004,9.3405,0.7355791980635965,1.3637732168689483,严重抖动,0
29,-123.6827,5.7546,-1.345270390420559,-1.9925921904816737,平稳,1
